experiment,model,model_clean,category,subject,accuracy,f1_macro
exp1_deep_raw_bilstm_loso_isolated_v2,bilstm,BiLSTM,Raw CNN/LSTM,DB2_s2,0.10011918951132301,0.01820151679306609
exp1_deep_raw_bilstm_loso_isolated_v2,bilstm,BiLSTM,Raw CNN/LSTM,DB2_s27,0.27344701583434833,0.2256478439238657
exp1_deep_raw_bilstm_loso_isolated_v2,bilstm,BiLSTM,Raw CNN/LSTM,DB2_s28,0.4426129426129426,0.4174961650820741
exp1_deep_raw_bilstm_loso_isolated_v2,bilstm,BiLSTM,Raw CNN/LSTM,DB2_s39,0.22378048780487805,0.12877852766447795
exp1_deep_raw_bilstm_loso_isolated_v2,bilstm,BiLSTM,Raw CNN/LSTM,DB2_s40,0.3129210042865891,0.2907999458554064
exp1_deep_raw_bilstm_loso_isolated_v2,bilstm,BiLSTM,Raw CNN/LSTM,DB2_s12,0.09988109393579073,0.01816216216216216
exp1_deep_raw_multiscale_cnn_loso_isolated_v2,multiscale_cnn,Multiscale CNN,Raw CNN/LSTM,DB2_s38,0.3685173886516168,0.339130206373018
exp1_deep_raw_multiscale_cnn_loso_isolated_v2,multiscale_cnn,Multiscale CNN,Raw CNN/LSTM,DB2_s5,0.307921381774866,0.28302993084143463
exp1_deep_raw_multiscale_cnn_loso_isolated_v2,multiscale_cnn,Multiscale CNN,Raw CNN/LSTM,DB2_s30,0.501516070345664,0.4756492097057506
exp1_deep_raw_multiscale_cnn_loso_isolated_v2,multiscale_cnn,Multiscale CNN,Raw CNN/LSTM,DB2_s11,0.4154761904761905,0.3857355683635701
exp1_deep_raw_multiscale_cnn_loso_isolated_v2,multiscale_cnn,Multiscale CNN,Raw CNN/LSTM,DB2_s36,0.42665036674816625,0.42238072525538417
exp1_deep_raw_multiscale_cnn_loso_isolated_v2,multiscale_cnn,Multiscale CNN,Raw CNN/LSTM,DB2_s1,0.4161712247324614,0.38342307292047684
exp1_deep_raw_multiscale_cnn_loso_isolated_v2,multiscale_cnn,Multiscale CNN,Raw CNN/LSTM,DB2_s26,0.32246153846153847,0.30709386356018387
exp1_deep_raw_multiscale_cnn_loso_isolated_v2,multiscale_cnn,Multiscale CNN,Raw CNN/LSTM,DB2_s3,0.22925373134328358,0.20014085606255233
